Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2023-07-10T18:15:32,M/s   ELCOMPONICS SALES PRIVATE LIMITED,ELCOMPONICS SALES PRIVATE LIMITED,544835546,2023071006544835546,Brand Owner,In Progress
2023-07-11T16:21:17,M/s   BEUMER INDIA PRIVATE LIMITED,BEUMER INDIA PRIVATE LIMITED,544836411,2023071106544836411,Brand Owner,In Progress
2023-07-11T22:11:15,M/s   ANDROS FOODS INDIA PRIVATE LIMITED,ANDROS FOODS INDIA PRIVATE LIMITED,544835732,2023071106544835732,Brand Owner,In Progress
2023-07-17T17:27:10,M/s   BETTERLIFE HORIZONS PRIVATE LIMITED,BETTERLIFE HORIZONS PRIVATE LIMITED,544836556,2023071706544836556,Brand Owner,In Progress
2023-07-25T12:05:31,M/s   DELHI MILK SCHEME,Delhi Milk Scheme,544837423,2023072506544837423,Brand Owner,In Progress
2023-07-28T11:03:07,M/s   JAMSHEDPUR CONTINUOUS ANNEALING & PROCESSING COMPANY PRIVATE LIMITED,JAMSHEDPUR CONTINUOUS ANNEALING & PROCESSING COMPANY PRIVATE LIMITED,544837711,2023072806544837711,Brand Owner,In Progress
2023-08-07T15:16:40,M/s   AUTOLIV INDIA PRIVATE LIMITED,AUTOLIV INDIA PRIVATE LIMITED,544839352,2023080706544839352,Brand Owner,In Progress
2023-08-12T08:45:00,M/s   PUSHP BRAND (INDIA) PRIVATE LIMITED,PUSHP BRAND (INDIA) PRIVATE LIMITED,544839607,2023081206544839607,Brand Owner,In Progress
2023-08-12T10:56:09,M/s   MICRO LABS LIMITED,MICRO LABS LIMITED,544840185,2023081206544840185,Brand Owner,In Progress
2023-08-16T14:57:15,M/s   BEEJAPURI FRESH PRODUCTS PRIVATE LIMITED,BEEJAPURI FRESH PRODUCTS PRIVATE LIMITED,544842310,2023081606544842310,Brand Owner,In Progress
2023-08-18T16:07:08,M/s   KOMATSU INDIA PRIVATE LIMITED,KOMATSU INDIA PRIVATE LIMITED,544840482,2023081806544840482,Brand Owner,In Progress
2023-08-21T14:01:21,M/s   G D PHARMACEUTICALS PRIVATE LIMITED,G.D. PHARMACEUTICALS PRIVATE LIMITED,544840726,2023082106544840726,Brand Owner,In Progress
2023-08-23T11:01:53,KLUBER LUBRICATION INDIA PVT LTD,KLUBER LUBRICATION INDIA PRIVATE LIMITED,544842197,2023082306544842197,Brand Owner,In Progress
2023-08-26T16:37:02,M/s   DHARWAD BIG MISHRA PEDHA PRIVATE LIMITED,DHARWAD BIG MISHRA PEDHA PRIVATE LIMITED,544841427,2023082606544841427,Brand Owner,In Progress
2023-08-28T16:26:39,M/s   PRAN BEVERAGES (INDIA) PRIVATE LIMITED,PRAN BEVERAGES (INDIA) PRIVATE LIMITED,544841828,2023082806544841828,Brand Owner,In Progress
2023-08-29T10:23:25,M/s   THE HOSHIARPUR DISTT. CO-     OP. MILK PRODUCERS UNION      LTD.,THE HOSHIARPUR CO OP MILK PRODUCER UNION,544841578,2023082906544841578,Brand Owner,In Progress
2023-09-04T10:37:54,M/s   NATURE'S FIRST INDIA PRIVATE LIMITED,NATURE'S FIRST INDIA PRIVATE LIMITED,544841930,2023090406544841930,Brand Owner,In Progress
2023-09-15T12:26:20,M/s   DEUTSCH INDIA POWER CONNECTORS PRIVATE LIMITED,DEUTSCH INDIA POWER CONNECTORS PRIVATE LIMITED,544843206,2023091506544843206,Brand Owner,In Progress
2023-09-27T10:02:34,M/s   ELIN ELECTRONICS LIMITED,ELIN ELECTRONICS LTD.,544844103,2023092706544844103,Brand Owner,In Progress
2023-09-28T11:38:27,M/s   P M C RUBBER CHEMICALS INDIA PRIVATE LIMITED,PMC RUBBER CHEMICALS INDIA PRIVATE LIMITED,544844226,2023092806544844226,Brand Owner,In Progress
2023-09-28T15:49:10,Shri  ANGAMUTHU SARAVANAN,SHIVA SAI PAPERS AGENCIES,544844273,2023092806544844273,Brand Owner,In Progress
2023-10-12T14:58:29,M/s   ISHAAN PLASTICS PRIVATE LIMITED,ISHAAN PLASTICS PRIVATE LIMITED,544845351,2023101206544845351,Brand Owner,In Progress
2023-10-17T15:36:45,M/s   COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,COUNTO MICROFINE PRODUCTS PRIVATE LIMITED,544845715,2023101706544845715,Brand Owner,In Progress
2023-10-20T12:27:29,M/s   GALCO EXTRUSIONS PRIVATE LIMITED,GALCO EXTRUSIONS PRIVATE LIMITED,544845948,2023102006544845948,Brand Owner,In Progress
